"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
Back,Back
Reset,Reset
"Delete Template","Delete Template"
"Preview Template as PDF","Preview Template as PDF"
"Save Template","Save Template"
"Load Template","Load Template"
"Use the Template For","Use the Template For"
"Stores & Customer Groups","Stores & Customer Groups"
"Use for Stores","Use for Stores"
"Please specify Storeviews for which the template will be used. Leave empty or select all to use the template for any storeview.","Please specify Storeviews for which the template will be used. Leave empty or select all to use the template for any storeview."
"Use for Customer Groups","Use for Customer Groups"
"Please specify customer groups for which the template will be used. Leave empty or select all to use the template for any customer group. Additive with Storeviews choice.","Please specify customer groups for which the template will be used. Leave empty or select all to use the template for any customer group. Additive with Storeviews choice."
"No Order templates assigned for this Order's storeview. Please assign one to %1 storeview at Marketing > Promotions > PDF Templates > PDF template of your choice, Stores & Customer Groups multiselect, then re-attempt Print Order.","No Order templates assigned for this Order's storeview. Please assign one to %1 storeview at Marketing > Promotions > PDF Templates > PDF template of your choice, Stores & Customer Groups multiselect, then re-attempt Print Order."
"You deleted the PDF template.","You deleted the PDF template."
"We can't delete PDF template data right now. Please review log and try again.","We can't delete PDF template data right now. Please review log and try again."
"We can't find an PDF template to delete.","We can't find an PDF template to delete."
"Edit Template","Edit Template"
"Edit System Template","Edit System Template"
"New Template","New Template"
"New System Template","New System Template"
"PDF Templates","PDF Templates"
"An error occurred. The PDF template can not be opened for preview.","An error occurred. The PDF template can not be opened for preview."
"This PDF template no longer exists.","This PDF template no longer exists."
"You saved the PDF template.","You saved the PDF template."
"To use PDF customizer, please install the library dompdf/dompdf since it is required for proper PDF customizer functioning. To do this, run the command ""composer require dompdf/dompdf"" in the main site folder.","To use PDF customizer, please install the library dompdf/dompdf since it is required for proper PDF customizer functioning. To do this, run the command ""composer require dompdf/dompdf"" in the main site folder."
"Do not replace the default ""Print"" link","Do not replace the default ""Print"" link"
"Replace the default ""Print"" link","Replace the default ""Print"" link"
"Add new link for custom PDF","Add new link for custom PDF"
Order,Order
Invoice,Invoice
Shipping,Shipping
"Credit Memo","Credit Memo"
%1,%1
"Template Variables","Template Variables"
"Please enter a template name.","Please enter a template name."
"Duplicate Of Template Name","Duplicate Of Template Name"
"Invalid transactional PDF code: %1","Invalid transactional PDF code: %1"
"Amasty Delivery Date: Date","Amasty Delivery Date: Date"
"Amasty Delivery Date: Time","Amasty Delivery Date: Time"
"Amasty Delivery Date: Comment","Amasty Delivery Date: Comment"
"Amasty Sales Reps and Dealers: Dealer Name","Amasty Sales Reps and Dealers: Dealer Name"
"Amasty Sales Reps and Dealers: Dealer Email","Amasty Sales Reps and Dealers: Dealer Email"
"Amasty Sales Reps and Dealers: Dealer Description","Amasty Sales Reps and Dealers: Dealer Description"
"There are no printable documents related to selected orders.","There are no printable documents related to selected orders."
"Print Order PDF","Print Order PDF"
"Credit memo default Template","Credit memo default Template"
"Invoice default Template","Invoice default Template"
"Order default Template","Order default Template"
"Shipment default Template","Shipment default Template"
"Load default template","Load default template"
Template,Template
"Are you sure you want to delete this template?","Are you sure you want to delete this template?"
"The template did not load. Please review the log for details.","The template did not load. Please review the log for details."
"PDF Preview","PDF Preview"
"Credit Memo To","Credit Memo To"
"Credit Memo Details","Credit Memo Details"
"Credit Memo: #%creditmemo_id","Credit Memo: #%creditmemo_id"
"Order No: #%order_id","Order No: #%order_id"
"Credit Memo Date: %created_at","Credit Memo Date: %created_at"
"Payment Method","Payment Method"
"thank you for your business!","thank you for your business!"
"We love hearing from you, our Luma customers. Please contact us about anything at all. We’ll do everything we can to make your Luma experience unforgettable everytime.","We love hearing from you, our Luma customers. Please contact us about anything at all. We’ll do everything we can to make your Luma experience unforgettable everytime."
"About Us","About Us"
"Customer Service","Customer Service"
"Invoice To","Invoice To"
"Invoice Details","Invoice Details"
"Invoice No: #%invoice_id","Invoice No: #%invoice_id"
"Invoice Date: %created_at","Invoice Date: %created_at"
"Order To","Order To"
"Order Details","Order Details"
"Order No: #%increment_id","Order No: #%increment_id"
"Order Date: %created_at","Order Date: %created_at"
"Shipment To","Shipment To"
"Shipment Details","Shipment Details"
"Shipment No: #%increment_id","Shipment No: #%increment_id"
"Shipment Date: %created_at","Shipment Date: %created_at"
Shipment,Shipment
"Insert Variable...","Insert Variable..."
"Aamsty PDF Templates","Aamsty PDF Templates"
"PDF Customizer","PDF Customizer"
Information,Information
General,General
Enabled,Enabled
"Automatically Attach PDF Files to Sales Emails","Automatically Attach PDF Files to Sales Emails"
"Link Type in Customer Account","Link Type in Customer Account"
"Link Label","Link Label"
"No Templates Found","No Templates Found"
ID,ID
Added,Added
Updated,Updated
Action,Action
Preview,Preview
"Print Orders","Print Orders"
